Abathur: Role Support; RoleDetail Enabler; Lane Macro; Dmg Mixed; Rng R; WC M; Camp L; ENG N; Peel M; CC Slow; Macro H; Global Y; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Protect; Provides Macro|Vision|Save|Poke; Needs Frontline|Peel|Waveclear; Weaknesses LowSurvivability|VulnerableDive|NeedsSetup; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q None L; CC-Q TargetArea M; SAVE-Q Conditional H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate B.
Lúcio: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel H; CC Displace, Slow; Macro H; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Macro, Protect; Provides SustainHeal|Peel|Disengage|Macro|AntiDive; Needs Frontline|Waveclear; Weaknesses WeakBurstHeal|NeedsSetup; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q Heroic H; INT-Q Skillshot M; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate B; EngageGate N; GlobalGate N.
Lunara: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Mixed; Rng R; WC M; Camp M; ENG N; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Poke, Macro; Provides Poke|SustainDmg|Macro|Siege; Needs Frontline|Peel|SetupCC; Weaknesses LowSurvivability|VulnerableDive; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Maiev: Role Melee; RoleDetail FlexDPS; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel M; CC Root, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Wombo, Dive; Provides Engage|Wombo|SetupCC|Disrupt|FollowUp; Needs Frontline|HealerPocket|FollowUpDamage; Weaknesses NeedsSetup|VulnerableCCChain; PowerCurve Mid|Spike10; Contested M; ENG-Q Skillshot H; CC-Q Skillshot H; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Mal’Ganis: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Spell; Rng M; WC M; Camp M; ENG H; Peel M; CC Sleep, Stun, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Disrupt; Provides Frontline|Engage|Disrupt|AntiDive|SetupCC|Disengage; Needs FollowUpDamage|Waveclear; Weaknesses VulnerablePoke|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q Skillshot H; CC-Q Skillshot M; SAVE-Q Self M; INT-Q Skillshot M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Malfurion: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG N; Peel M; CC Root, Silence, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Pick; Provides SustainHeal|SetupCC|Interrupt|Pick|Poke; Needs Frontline|Peel; Weaknesses VulnerableDive|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q None L; INT-Q Skillshot M; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate B; EngageGate N; GlobalGate N.
Malthael: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Spell; Rng M; WC M; Camp M; ENG S; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Anti tank; Provides Offlane|Macro|AntiTank|SustainDmg|CampClear; Needs SetupCC|Peel|Disengage; Weaknesses LowBurst|VulnerableKite|VulnerableCCChain; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q Conditional M; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Medivh: Role Support; RoleDetail Enabler; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel H; CC Displace, Slow; Macro M; Global N; Cleanse N; Reveal Y; Stealth N; Antiheal N; Styles Protect, Pick; Provides Save|Peel|Disengage|Vision|Pick|DiveEnable; Needs Frontline|Waveclear|FollowUpDamage; Weaknesses NeedsSetup|WeakWaveclear; PowerCurve Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q PointClick H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate B; InterruptGate N; EngageGate N; GlobalGate N.
Mei: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Spell; Rng M; WC M; Camp L; ENG S; Peel H; CC Blind, Stun, Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Anti dive, Teamfight; Provides Frontline|Peel|AntiDive|Disengage|SetupCC|BlindTax; Needs FollowUpDamage|Waveclear; Weaknesses VulnerablePoke|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q Skillshot M; CC-Q TargetArea H; SAVE-Q Self M; INT-Q Skillshot M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Mephisto: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Poke; Provides Poke|Burst|Waveclear|Teamfight|FollowUp; Needs Frontline|Peel|SetupCC; Weaknesses LowMobility|LowSurvivability|VulnerableDive; PowerCurve Mid|Spike16; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Muradin: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel M; CC Stun, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Engage, Pick; Provides Frontline|Engage|Pick|SetupCC|Interrupt; Needs FollowUpDamage|Waveclear; Weaknesses VulnerablePoke; PowerCurve Early|Mid; Contested H; ENG-Q PointClick H; CC-Q PointClick H; SAVE-Q Self M; INT-Q PointClick H; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Murky: Role Melee; RoleDetail MacroSpecialist; Lane Macro; Dmg Mixed; Rng M; WC M; Camp M; ENG N; Peel L; CC Slow; Macro H; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Split; Provides Macro|Waveclear|Disrupt|ObjectiveControl; Needs Teamfight4v4|WaveclearSupport; Weaknesses NeedsSetup|WeakTeamfight; PowerCurve Early|Mid; Contested L; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Nazeebo: Role Ranged; RoleDetail RangedDPS; Lane Macro; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel M; CC Root, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro; Provides Waveclear|Macro|Siege|Zone|Scaling; Needs Frontline|Peel|TimeToScale; Weaknesses LowMobility|VulnerableDive|WeakEarly; PowerCurve Late|Scaling|Spike20; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Nova: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC L; Camp L; ENG N; Peel L; CC Slow; Macro L; Global N; Cleanse N; Reveal N; Stealth Y; Antiheal N; Styles Pick, Burst; Provides Pick|Burst|Vision; Needs Frontline|SetupCC|FollowUp|Waveclear; Weaknesses LowWaveclear|WeakTeamfight|VulnerableReveal; PowerCurve Early|Mid; Contested L; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Orphea: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG S; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight; Provides SustainDmg|Skirmish|FollowUp|Poke; Needs Frontline|SetupCC|Peel; Weaknesses LowMobility|VulnerableDive|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q Conditional M; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Probius: Role Ranged; RoleDetail RangedDPS; Lane Macro; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel M; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Poke, Zone; Provides Waveclear|Zone|ObjectiveControl|Poke|Siege; Needs Frontline|Peel|TimeToSetUp; Weaknesses NeedsSetup|LowMobility|VulnerableDive; PowerCurve Mid|Late; Contested L; ENG-Q None L; CC-Q Skillshot L; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Qhira: Role Melee; RoleDetail FlexDPS; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel L; CC Stun, Root, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Pick; Provides Engage|Pick|Burst|SetupCC|FollowUp; Needs Frontline|HealerPocket|Disengage; Weaknesses NeedsSetup|VulnerableCCChain; PowerCurve Early|Mid; Contested M; ENG-Q Skillshot H; CC-Q Skillshot M; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Ragnaros: Role Bruiser; RoleDetail Offlane; Lane Flex; Dmg Spell; Rng M; WC H; Camp H; ENG S; Peel M; CC Slow, Displace; Macro H; Global SG; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Teamfight; Provides Waveclear|CampClear|Siege|Macro|ObjectiveControl; Needs Frontline|Peel; Weaknesses LowMobility|VulnerableDive; PowerCurve Mid|Late|Spike10; Contested M; ENG-Q Conditional M; CC-Q TargetArea M; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate H10.
Raynor: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC M; Camp M; ENG N; Peel L; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Protect, Siege; Provides SustainDmg|Siege|FollowUp|ObjectiveDPS; Needs Frontline|Peel|SetupCC; Weaknesses VulnerableDive|VulnerableBlinds; PowerCurve Early|Mid; Contested M; ENG-Q None L; CC-Q TargetArea M; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Rehgar: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Mixed; Rng M; WC M; Camp H; ENG S; Peel M; CC Slow, Displace; Macro M; Global N; Cleanse Y; Reveal N; Stealth N; Antiheal N; Styles Macro, Dive; Provides SustainHeal|Cleanse|CampClear|Disengage|DiveEnable; Needs Frontline|SetupCC; Weaknesses VulnerablePoke|NeedsSetup; PowerCurve Early|Mid; Contested H; ENG-Q Conditional M; CC-Q Skillshot M; SAVE-Q PointClick H; INT-Q None L; CleanseGate B; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Rexxar: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg AA; Rng R; WC M; Camp H; ENG S; Peel M; CC Stun, Slow; Macro H; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro; Provides Offlane|Macro|ObjectiveControl|CampClear|SetupCC; Needs TeamfightSupport|Waveclear; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Early|Mid; Contested M; ENG-Q Conditional M; CC-Q PointClick H; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Samuro: Role Melee; RoleDetail MacroSpecialist; Lane Macro; Dmg AA; Rng M; WC M; Camp H; ENG S; Peel L; CC Slow; Macro H; Global N; Cleanse N; Reveal N; Stealth Y; Antiheal N; Styles Macro, Split; Provides Macro|CampClear|SplitPush|Duel|Vision; Needs TeamfightSupport|SetupCC; Weaknesses NeedsSetup|WeakTeamfight|VulnerableReveal; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q Conditional M; CC-Q TargetArea L; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Sgt. Hammer: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC H; Camp M; ENG N; Peel L; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Siege, Protect; Provides Siege|SustainDmg|Waveclear|ObjectiveDPS|Zone; Needs Frontline|Peel|Disengage|Vision; Weaknesses LowMobility|VulnerableDive|VulnerableFlank|VulnerableInterrupts; PowerCurve Mid|Late; Contested L; ENG-Q None L; CC-Q TargetArea M; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Sonya: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg AA; Rng M; WC H; Camp H; ENG S; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Dive; Provides Offlane|Waveclear|CampClear|SustainDmg|Engage; Needs Peel|SetupCC|SustainHeal; Weaknesses VulnerableKite|VulnerableCCChain; PowerCurve Early|Mid; Contested M; ENG-Q Conditional M; CC-Q TargetArea L; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Stitches: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel M; CC Displace, Slow, Stun; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Disrupt; Provides Frontline|Pick|Engage|SetupCC|Disrupt|Zone; Needs FollowUpDamage|Waveclear; Weaknesses VulnerablePoke|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q Skillshot H; CC-Q Skillshot M; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Stukov: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel H; CC Silence, Root, Slow, Displace; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Anti dive; Provides SustainHeal|Peel|AntiDive|Disengage|Interrupt|SetupCC; Needs Frontline|Waveclear; Weaknesses LowMobility|VulnerableDive|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q None L; CC-Q TargetArea H; SAVE-Q TargetArea M; INT-Q TargetArea H; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate B; EngageGate N; GlobalGate N.
Sylvanas: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Mixed; Rng R; WC H; Camp M; ENG S; Peel L; CC Silence, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Siege; Provides Siege|Waveclear|Macro|Pick|FollowUp; Needs Frontline|Peel|Disengage; Weaknesses LowSurvivability|VulnerableDive|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q Conditional M; CC-Q Skillshot M; SAVE-Q Self L; INT-Q Skillshot M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Tassadar: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel M; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Poke, Teamfight; Provides Poke|Burst|Waveclear|Zone|FollowUp; Needs Frontline|Peel|SetupCC; Weaknesses LowMobility|LowSurvivability|VulnerableDive; PowerCurve Mid|Spike16; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
The Butcher: Role Melee; RoleDetail FlexDPS; Lane 4man; Dmg AA; Rng M; WC L; Camp M; ENG H; Peel L; CC Stun, Slow; Macro L; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Dive; Provides Burst|Pick|Engage|Snowball; Needs HealerPocket|SetupCC|Frontline|TimeToScale; Weaknesses LowWaveclear|VulnerableCCChain|WeakEarly|NeedsSetup; PowerCurve Scaling|Spike10|Late; Contested L; ENG-Q Conditional H; CC-Q PointClick H; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
The Lost Vikings: Role Support; RoleDetail MacroSpecialist; Lane Macro; Dmg AA; Rng M; WC M; Camp M; ENG N; Peel L; CC Slow; Macro H; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Split; Provides Macro|Soak|Vision|ObjectiveControl; Needs Teamfight4v4|WaveclearSupport; Weaknesses NeedsSetup|WeakTeamfight|VulnerableDive; PowerCurve Early|Mid; Contested L; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Thrall: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel M; CC Root, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Teamfight; Provides Offlane|SetupCC|FollowUp|Disengage|SustainDmg; Needs Frontline|Waveclear; Weaknesses LowMobility|VulnerablePoke|NeedsSetup; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q Conditional M; CC-Q Skillshot H; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Tracer: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC L; Camp L; ENG H; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Pick; Provides DiveEnable|Pick|Burst|FollowUp|Mobility; Needs Frontline|SetupCC|HealerPocket|Disengage; Weaknesses LowWaveclear|VulnerableCCChain|NeedsSetup; PowerCurve Mid; Contested M; ENG-Q Conditional H; CC-Q TargetArea L; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Tychus: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC M; Camp H; ENG N; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Anti tank, Teamfight; Provides AntiTank|SustainDmg|CampClear|Teamfight; Needs Frontline|Peel|SetupCC; Weaknesses LowMobility|VulnerableDive|ShortRange; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Tyrael: Role Tank; RoleDetail OffTank; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel M; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Protect; Provides Frontline|DiveEnable|Disengage|Save|Engage; Needs FollowUpDamage|Waveclear; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Mid|Spike10; Contested M; ENG-Q Conditional M; CC-Q Skillshot M; SAVE-Q Heroic H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Tyrande: Role Healer; RoleDetail SupportHealer; Lane 4man; Dmg AA; Rng R; WC L; Camp L; ENG N; Peel M; CC Stun, Slow; Macro M; Global N; Cleanse S; Reveal Y; Stealth N; Antiheal N; Styles Pick; Provides SetupCC|Pick|Vision|BurstHeal|FollowUp; Needs Frontline|Peel|Waveclear; Weaknesses NeedsSetup|VulnerableDive|WeakSustain; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q Conditional M; INT-Q None L; CleanseGate T; AntihealGate N; RevealGate B; InterruptGate N; EngageGate N; GlobalGate N.
Uther: Role Healer; RoleDetail SupportHealer; Lane 4man; Dmg Mixed; Rng M; WC L; Camp L; ENG S; Peel H; CC Stun, Slow; Macro M; Global N; Cleanse Y; Reveal N; Stealth N; Antiheal N; Styles Protect, Anti dive; Provides Peel|AntiDive|SetupCC|Save|Cleanse; Needs Waveclear|FollowUpDamage; Weaknesses LowMobility|WeakSustain|NeedsSetup; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q Conditional M; CC-Q PointClick H; SAVE-Q PointClick H; INT-Q PointClick H; CleanseGate B; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Valeera: Role Melee; RoleDetail FlexDPS; Lane 4man; Dmg AA; Rng M; WC L; Camp L; ENG H; Peel L; CC Silence, Stun, Slow; Macro L; Global N; Cleanse N; Reveal N; Stealth Y; Antiheal N; Styles Pick, Disrupt; Provides Pick|Interrupt|Burst|Vision; Needs Frontline|FollowUp|Waveclear; Weaknesses LowWaveclear|WeakTeamfight|VulnerableReveal|NeedsSetup; PowerCurve Early|Mid; Contested M; ENG-Q Conditional H; CC-Q Conditional H; SAVE-Q Self L; INT-Q PointClick H; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Valla: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC M; Camp M; ENG N; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Protect, Teamfight; Provides SustainDmg|Burst|FollowUp|ObjectiveDPS; Needs Frontline|Peel|SetupCC; Weaknesses LowSurvivability|VulnerableDive|VulnerableBlinds; PowerCurve Mid|Late|Scaling; Contested H; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Varian: Role Tank or Bruiser; RoleDetail OffTank; Lane Flex; Dmg AA; Rng M; WC L; Camp M; ENG H; Peel M; CC Stun, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Dive; Provides Engage|Pick|SetupCC|Frontline; Needs Waveclear|FollowUpDamage|SustainHeal; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q PointClick H; CC-Q PointClick H; SAVE-Q Self M; INT-Q PointClick H; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Whitemane: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel M; CC Root, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Sustain; Provides BurstHeal|SustainHeal|Teamfight|FollowUp; Needs Frontline|Peel|TimeToScale; Weaknesses NeedsSetup|VulnerableDive|VulnerableInterrupts; PowerCurve Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot L; SAVE-Q TargetArea M; INT-Q None L; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Xul: Role Bruiser; RoleDetail Offlane; Lane Flex; Dmg Spell; Rng M; WC H; Camp H; ENG S; Peel M; CC Root, Slow; Macro H; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Teamfight; Provides Waveclear|CampClear|Macro|Zone|SetupCC|AntiDive; Needs Frontline|SustainHeal; Weaknesses LowMobility|VulnerablePoke|NeedsSetup; PowerCurve Mid|Spike16; Contested M; ENG-Q Conditional M; CC-Q TargetArea M; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Yrel: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel M; CC Stun, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Macro; Provides Frontline|Disrupt|Peel|Engage|Offlane; Needs FollowUpDamage|Waveclear; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Mid|Late; Contested M; ENG-Q Conditional M; CC-Q Conditional M; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Zagara: Role Ranged; RoleDetail RangedDPS; Lane Macro; Dmg Mixed; Rng R; WC H; Camp M; ENG N; Peel L; CC Slow; Macro H; Global N; Cleanse N; Reveal Y; Stealth N; Antiheal N; Styles Macro, Siege; Provides Siege|Waveclear|Macro|Vision|Zone; Needs Frontline|Peel|Disengage; Weaknesses LowMobility|VulnerableDive|WeakTeamfight; PowerCurve Early|Mid; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate B; InterruptGate N; EngageGate N; GlobalGate N.
Zarya: Role Support; RoleDetail Enabler; Lane 4man; Dmg Mixed; Rng R; WC M; Camp M; ENG N; Peel H; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Protect, Teamfight; Provides Peel|Save|Teamfight|SustainDmg|DiveEnable; Needs Frontline|Waveclear; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q PointClick H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Zeratul: Role Melee; RoleDetail FlexDPS; Lane 4man; Dmg Mixed; Rng M; WC L; Camp M; ENG H; Peel L; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth Y; Antiheal N; Styles Pick, Dive; Provides Pick|Burst|DiveEnable|Vision|FollowUp; Needs SetupCC|Frontline|HealerPocket|Disengage; Weaknesses LowWaveclear|NeedsSetup|VulnerableReveal; PowerCurve Mid|Late|Spike10; Contested M; ENG-Q Conditional H; CC-Q Conditional M; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
